           TIME                          IP                   METHOD                PATH


Fri, 04 Jul 2025 12:26:51 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:26:53 GMT : 	::1 :	GET : 	/login 
Fri, 04 Jul 2025 12:26:53 GMT : 	::1 :	GET : 	/css/login.css 
Fri, 04 Jul 2025 12:26:53 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:26:53 GMT : 	::1 :	GET : 	/js/login.js 
Fri, 04 Jul 2025 12:26:53 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:26:53 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:26:53 GMT : 	::1 :	GET : 	/animations/animation.json 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	POST : 	/logCred 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/ 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/css/dashboard.css 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/images/img1.jpg 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/images/img2.jpg 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/images/img3.png 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/images/img4.jpg 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/js/dashboard.js 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/fonts/AverBold-4YlW.ttf 
Fri, 04 Jul 2025 12:27:08 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:27:12 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:30:47 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:30:50 GMT : 	::1 :	GET : 	/login 
Fri, 04 Jul 2025 12:30:50 GMT : 	::1 :	GET : 	/css/login.css 
Fri, 04 Jul 2025 12:30:50 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:30:50 GMT : 	::1 :	GET : 	/js/login.js 
Fri, 04 Jul 2025 12:30:50 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:30:50 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:30:50 GMT : 	::1 :	GET : 	/animations/animation.json 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	POST : 	/logCred 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/ 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/css/dashboard.css 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/js/dashboard.js 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/images/img1.jpg 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/images/img2.jpg 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/images/img3.png 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/images/img4.jpg 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/fonts/AverBold-4YlW.ttf 
Fri, 04 Jul 2025 12:30:58 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:31:01 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:33:39 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:33:40 GMT : 	::1 :	GET : 	/login 
Fri, 04 Jul 2025 12:33:40 GMT : 	::1 :	GET : 	/css/login.css 
Fri, 04 Jul 2025 12:33:40 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:33:40 GMT : 	::1 :	GET : 	/js/login.js 
Fri, 04 Jul 2025 12:33:40 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:33:40 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:33:40 GMT : 	::1 :	GET : 	/animations/animation.json 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	POST : 	/logCred 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/ 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/css/dashboard.css 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/images/img1.jpg 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/images/img2.jpg 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/images/img3.png 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/js/dashboard.js 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/images/img4.jpg 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/fonts/AverBold-4YlW.ttf 
Fri, 04 Jul 2025 12:33:48 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:33:50 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:35:36 GMT : 	::1 :	GET : 	/bill 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/login 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/css/login.css 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/js/login.js 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/animations/animation.json 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:37:20 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	POST : 	/logCred 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/ 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/css/dashboard.css 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/log1.png 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/img4.jpg 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/list.png 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/fonts/Aver-opKo.ttf 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/fonts/hindi.ttf 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/img2.jpg 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/img3.png 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/images/img1.jpg 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/js/dashboard.js 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/fonts/AverBold-4YlW.ttf 
Fri, 04 Jul 2025 12:37:30 GMT : 	::1 :	GET : 	/api/user 
Fri, 04 Jul 2025 12:37:32 GMT : 	::1 :	GET : 	/Status 
Fri, 04 Jul 2025 12:37:32 GMT : 	::1 :	GET : 	/images/log1.png 
